#S 2  zapline mono 16.3912 14.118 2709 100 
#D Wed Sep 25 11:09:41 2024
energy_offset(keV) muT mon_2 ion_1_1
7.15313 -0.011193113823453603 22546.9 22800.7
7.15363 -0.01136266172085976 22559.5 22817.3
7.15413 -0.012077873942656858 22558.9 22833.0
7.15463 -0.012776914027447383 22551.2 22841.2
7.15513 -0.014118262886451663 22558.5 22879.2
7.15563 -0.015710285917510183 22553.6 22910.8
7.15613 -0.01688202273858006 22555.8 22939.8
7.15663 -0.018098243523490487 22558.4 22970.4
7.15713 -0.018922405558813023 22564.0 22995.1
7.15763 -0.01971702806273599 22567.0 23016.4
7.15813 -0.020262656730436937 22574.3 23036.3
7.15863 -0.021296495935149956 22561.2 23046.8
7.15913 -0.021985623497534797 22564.7 23066.3
7.15963 -0.022354252066814802 22558.3 23068.3
7.16013 -0.02242955126509189 22560.0 23071.8
7.16063 -0.02316817609085048 22557.0 23085.7
7.16113 -0.023961124045442678 22561.9 23109.0
7.16163 -0.024665636324330064 22559.8 23123.2
7.16213 -0.025348961255975886 22550.3 23129.3
7.16263 -0.026576376905343424 22559.4 23167.0
7.16313 -0.02796622051766411 22562.5 23202.4
7.16363 -0.02894513877328031 22552.5 23214.8
7.16413 -0.030269588240868003 22553.2 23246.3
7.16463 -0.0313454806340543 22560.6 23279.0
7.16513 -0.032477404441677675 22567.0 23311.9
7.16563 -0.03341388115779584 22566.8 23333.6
7.16613 -0.03422841803532188 22545.8 23330.8
7.16663 -0.0352334393577842 22548.5 23357.2
7.16713 -0.03619583704574862 22551.0 23382.2
7.16763 -0.03647823796369462 22538.9 23376.3
7.16813 -0.03714855734164019 22569.0 23423.2
7.16863 -0.03802918364442753 22555.0 23429.3
7.16913 -0.03907056329574779 22547.8 23446.2
7.16963 -0.040050265304415085 22568.5 23490.7
7.17013 -0.04119543036946976 22565.8 23514.8
7.17063 -0.04234791192540393 22562.3 23538.2
7.17113 -0.04402092887505939 22556.9 23572.1
7.17163 -0.045695945691140015 22569.3 23624.6
7.17213 -0.047583442786206 22583.6 23684.1
7.17263 -0.04948837159940779 22594.8 23741.1
7.17313 -0.05129870352550425 22580.4 23769.0
7.17363 -0.053394564930922005 22592.1 23831.2
7.17413 -0.0557206241332524 22595.1 23889.9
7.17463 -0.05814529378494999 22571.2 23922.5
7.17513 -0.0604844788735361 22437.3 23836.2
7.17563 -0.06262408384649322 21833.4 23244.2
7.17613 -0.06495505800014471 20509.4 21885.6
7.17663 -0.06747023697626994 20370.0 21791.8
7.17713 -0.0698477300158003 20232.7 21696.6
7.17763 -0.07197082268472828 20907.2 22467.6
7.17813 -0.07343784383142307 21958.7 23632.1
7.17863 -0.0750181508700475 22320.2 24059.0
7.17913 -0.07605242669780535 22429.0 24201.3
7.17963 -0.07689114004021216 22472.0 24268.1
7.18013 -0.07777425516564682 22494.8 24314.2
7.18063 -0.07831586588669313 22510.6 24344.4
7.18113 -0.07845631590922497 22531.8 24370.7
7.18163 -0.07881179703526718 22526.8 24374.0
7.18213 -0.078765793255544 22543.1 24390.6
7.18263 -0.07853373023504866 22549.9 24392.3
7.18313 -0.07840288715629105 22561.8 24401.9
7.18363 -0.07805100455175996 22572.6 24405.0
7.18413 -0.07764392510704382 22576.9 24399.7
7.18463 -0.07676447845245932 22580.2 24381.8
7.18513 -0.07605479588158878 22589.3 24374.3
7.18563 -0.07478075422163961 22599.5 24354.3
7.18613 -0.07358366444775169 22591.4 24316.4
7.18663 -0.07269022200717322 22599.4 24303.3
7.18713 -0.07119008677535416 22608.5 24276.7
7.18763 -0.0701446877584507 22601.3 24243.6
7.18813 -0.06865176628669527 22608.0 24214.6
7.18863 -0.0673707352635892 22626.9 24203.8
7.18913 -0.06595680270099485 22630.6 24173.5
7.18963 -0.06471441785436544 22631.3 24144.4
7.19013 -0.06334109874942855 22630.2 24110.0
7.19063 -0.061537729070923246 22645.9 24083.2
7.19113 -0.06008888047481008 22644.1 24046.5
7.19163 -0.05896182678540133 22654.4 24030.3
7.19213 -0.05773477290547306 22661.8 24008.6
7.19263 -0.0568738317099535 22662.9 23989.2
7.19313 -0.05593984706352376 22666.8 23970.9
7.19363 -0.05569210256581916 22670.5 23968.9
7.19413 -0.05564746361009733 22682.4 23980.4
7.19463 -0.05612064221065831 22688.0 23997.7
7.19513 -0.05682536276446474 22688.0 24014.6
7.19563 -0.05788791739374628 22686.0 24038.0
7.19613 -0.059236803912399445 22698.6 24083.9
7.19663 -0.061111692314744004 22708.4 24139.4
7.19713 -0.06298528423210056 22718.9 24195.9
7.19763 -0.06442012286777953 22727.1 24239.4
7.19813 -0.06666414835731366 22733.3 24300.5
7.19863 -0.06895030382181264 22734.2 24357.1
7.19913 -0.07088591835195925 22730.2 24399.9
7.19963 -0.07368714252733663 22734.8 24473.3
7.20013 -0.07647624877871027 22749.1 24557.1
7.20063 -0.0786928854746902 22748.4 24610.8
7.20113 -0.08097477347883972 22761.4 24681.2
7.20163 -0.08353805971979526 22765.2 24748.7
7.20213 -0.08584258734064838 22765.4 24806.0
7.20263 -0.08877730384846545 22764.7 24878.2
7.20313 -0.09149797920509681 22776.5 24958.9
7.20363 -0.09419486475111497 22781.8 25032.1
7.20413 -0.09696714287869525 22778.8 25098.3
7.20463 -0.09912781832269266 22790.3 25165.2
7.20513 -0.10131905280842696 22793.0 25223.4
7.20563 -0.10335166390841631 22791.0 25272.5
7.20613 -0.1047418478274601 22794.4 25311.5
7.20663 -0.10567311492436303 22811.2 25353.7
7.20713 -0.1065352450251018 22813.7 25378.4
7.20763 -0.10705528203859976 22818.8 25397.2
7.20813 -0.1068658168526539 22820.0 25393.8
7.20863 -0.1060361448332059 22823.7 25376.8
7.20913 -0.10516837009226677 22821.8 25352.6
7.20963 -0.10350133519046859 22824.0 25312.9
7.21013 -0.10106191561535703 22827.7 25255.3
7.21063 -0.09826261586681329 22834.2 25191.9
7.21113 -0.09546314696140588 22843.1 25131.3
7.21163 -0.09121998922218419 22844.5 25026.4
7.21213 -0.0874877611548272 22846.7 24935.6
7.21263 -0.0833667906132637 22848.0 24834.4
7.21313 -0.07885592873946487 22851.0 24725.9
7.21363 -0.07426072601862942 22856.9 24618.9
7.21413 -0.06977156419871286 22862.4 24514.5
7.21463 -0.06536779464081925 22858.3 24402.5
7.21513 -0.06148633617984394 22853.5 24302.8
7.21563 -0.05688387493705495 22869.4 24208.0
7.21613 -0.05348431587611373 22866.3 24122.6
7.21663 -0.049815106102167085 22872.3 24040.6
7.21713 -0.046951007186297335 22871.1 23970.6
7.21763 -0.04466194683668138 22862.7 23906.9
7.21813 -0.042085335194473036 22873.3 23856.5
7.21863 -0.040138992079182194 22884.4 23821.7
7.21913 -0.03872669237545019 22886.8 23790.5
7.21963 -0.0377464094885331 22882.4 23762.6
7.22013 -0.03742888058941401 22882.5 23755.2
7.22063 -0.037662045473048085 22883.0 23761.3
7.22113 -0.03887831551757953 22885.0 23792.2
7.22163 -0.03996543989680858 22881.1 23814.1
7.22213 -0.04147626411690691 22883.1 23852.1
7.22263 -0.04383727398910162 22893.3 23919.3
7.22313 -0.04653497321432048 22901.4 23992.3
7.22363 -0.049579102320413314 22883.9 24047.0
7.22413 -0.05273096880204542 22882.1 24121.1
7.22463 -0.0562761545498804 22891.3 24216.5
7.22513 -0.060244938860724774 22889.4 24310.8
7.22563 -0.06404874841662046 22888.9 24402.8
7.22613 -0.06800374641431978 22891.9 24502.8
7.22663 -0.07234782360946615 22890.1 24607.5
7.22713 -0.076475434868244 22893.9 24713.4
7.22763 -0.08081894571790917 22892.6 24819.6
7.22813 -0.08473407540508035 22891.0 24915.2
7.22863 -0.08869074035323338 22888.2 25011.0
7.22913 -0.09280979352325432 22893.7 25120.2
7.22963 -0.09694307904922421 22889.6 25219.7
7.23013 -0.10102229722884541 22883.7 25316.3
7.23063 -0.10467886337071874 22882.2 25407.4
7.23113 -0.10829771366987383 22887.7 25505.6
7.23163 -0.11206795792225309 22884.4 25598.2
7.23213 -0.11521948405299103 22881.3 25675.5
7.23263 -0.11855817403851054 22889.3 25770.5
7.23313 -0.12188441922534944 22882.3 25848.4
7.23363 -0.12488344680165343 22874.2 25916.9
7.23413 -0.12781297672880676 22873.9 25992.6
7.23463 -0.1298459356565005 22882.8 26055.6
7.23513 -0.13219090285922935 22876.5 26109.6
7.23563 -0.13435115397129385 22870.3 26158.9
7.23613 -0.13595384716261968 22865.8 26195.7
7.23663 -0.1374383828805128 22870.6 26240.2
7.23713 -0.13858649279919977 22870.2 26269.8
7.23763 -0.1397485718840425 22862.9 26292.0
7.23813 -0.14015906622736105 22857.5 26296.5
7.23863 -0.14087594154962926 22861.2 26319.7
7.23913 -0.14137111166134878 22862.0 26333.6
7.23963 -0.14132780574102155 22859.8 26330.0
7.24013 -0.14155784605894658 22854.2 26329.5
7.24063 -0.14137679229780936 22857.4 26328.5
7.24113 -0.14110976146727383 22862.0 26326.8
7.24163 -0.14069394232305074 22858.4 26311.7
7.24213 -0.1399255854751666 22861.9 26295.5
7.24263 -0.13882485375943057 22862.1 26266.8
7.24313 -0.13842909719734514 22773.8 26155.0
7.24363 -0.1378086515381868 22535.1 25864.8
7.24413 -0.13689872441601383 22513.6 25816.6
7.24463 -0.1360357611969122 22663.2 25965.7
7.24513 -0.1351656639764276 22790.7 26089.1
7.24563 -0.1345426177269089 22810.6 26095.6
7.24613 -0.13371400563790475 22816.3 26080.6
7.24663 -0.1331299547834296 22821.8 26071.6
7.24713 -0.13272345611249056 22823.0 26062.4
7.24763 -0.13196500538787062 22822.5 26042.0
7.24813 -0.1320256427273136 22814.3 26034.3
7.24863 -0.13212956960897268 22815.8 26038.7
7.24913 -0.13199103030272047 22832.0 26053.5
7.24963 -0.13264503523087526 22807.1 26042.2
7.25013 -0.1327229023386078 22822.7 26062.0
7.25063 -0.13367492740606693 22820.8 26084.6
7.25113 -0.13456238817279195 22820.0 26106.9
7.25163 -0.1353210480593638 22821.8 26128.7
7.25213 -0.13628059298430775 22823.5 26155.8
7.25263 -0.13719077266954563 22819.4 26174.9
7.25313 -0.138299477446006 22821.9 26206.8
7.25363 -0.13945607049052508 22814.7 26228.9
7.25413 -0.14056990174537964 22824.9 26269.9
7.25463 -0.14108374128505136 22831.8 26291.3
7.25513 -0.14198168439174838 22812.0 26292.1
7.25563 -0.14287461394807666 22811.4 26314.9
7.25613 -0.1434761325819723 22822.4 26343.4
7.25663 -0.1440071657906421 22813.2 26346.8
7.25713 -0.14430731136065003 22815.2 26357.1
7.25763 -0.14483698345144366 22814.4 26370.1
7.25813 -0.1447852906139873 22813.0 26367.1
7.25863 -0.14457437400399653 22816.2 26365.2
7.25913 -0.1442652727992815 22826.5 26369.0
7.25963 -0.14417406195892207 22829.3 26369.7
7.26013 -0.14400869506190353 22824.1 26359.5
7.26063 -0.14370674495211194 22843.7 26374.1
7.26113 -0.14344446388600343 22854.7 26379.9
7.26163 -0.14311205764283327 22826.6 26338.7
7.26213 -0.1427296287190423 22835.6 26339.0
7.26263 -0.14253688329422898 22820.5 26316.5
7.26313 -0.14235360290152657 22829.8 26322.4
7.26363 -0.1421417844742081 22834.5 26322.3
7.26413 -0.14208680996613518 22822.5 26307.0
7.26463 -0.14173097012748448 22830.4 26306.8
7.26513 -0.14164109452099155 22842.6 26318.4
7.26563 -0.14142583511274895 22847.0 26317.8
7.26613 -0.1413744873919099 22837.4 26305.4
7.26663 -0.1413446770526359 22836.8 26303.9
7.26713 -0.14099981185067265 22843.9 26303.0
7.26763 -0.14082269268575434 22862.0 26319.2
7.26813 -0.14028648048382272 22856.5 26298.8
7.26863 -0.14002023920837328 22828.2 26259.2
7.26913 -0.13958565400099876 22854.3 26277.8
7.26963 -0.13884812666974083 22874.1 26281.2
7.27013 -0.13804457515212754 22872.4 26258.2
7.27063 -0.13726449921310702 22868.8 26233.5
7.27113 -0.13625545806244974 22866.9 26204.9
7.27163 -0.13537225757409393 22882.2 26199.3
7.27213 -0.13441820613386435 22880.5 26172.4
7.27263 -0.13417987718999289 22870.4 26154.6
7.27313 -0.1335503101893777 22865.2 26132.2
7.27363 -0.1333669841673097 22877.1 26141.0
7.27413 -0.13240942698779887 22895.9 26137.4
7.27463 -0.13214465337056383 22874.9 26106.5
7.27513 -0.13199882826494544 22877.6 26105.8
7.27563 -0.13180541262222126 22892.9 26118.2
7.27613 -0.13181517059393796 22893.6 26119.2
7.27663 -0.13173077469496586 22891.9 26115.1
7.27713 -0.13157746742356166 22893.0 26112.4
7.27763 -0.1315428338037916 22894.3 26112.9
7.27813 -0.13168507109638458 22895.0 26117.4
7.27863 -0.13139173957801287 22891.3 26105.5
7.27913 -0.13144536920086627 22893.3 26109.3
7.27963 -0.13090721831642116 22904.0 26107.4
7.28013 -0.13079400663889912 22908.0 26109.0
7.28063 -0.13017029586483903 22895.0 26077.9
7.28113 -0.1300042452281645 22896.5 26075.3
7.28163 -0.12967331578108468 22918.0 26091.1
7.28213 -0.12901596353822858 22911.8 26067.0
7.28263 -0.12868843045452302 22897.2 26041.9
7.28313 -0.1281562802039896 22901.7 26033.1
7.28363 -0.1275915599323951 22907.0 26024.4
7.28413 -0.12718110780115935 22896.3 26001.5
7.28463 -0.12691101447897468 22885.4 25982.2
